electrical demand,hot water demand,space heating demand
48.9541,0.933422,228.225
53.7258,3.05864,240.374
39.0607,1.69696,233.305
43.9416,0.408755,231.538
36.6185,0.0383208,236.763
26.8009,1.06814,237.207
31.0531,0.417969,245.075
25.5304,0,244.678
26.9705,0,248.13
25.3956,0,249.33
29.9248,0,243.21
24.3553,0,248.49
27.2588,0.0597099,61.337
23.8059,0.0398066,191.341
23.8158,0,216.38
30.0827,0,810.192
22.9713,0,767.684
27.8361,0,556.131
28.9366,0,643.077
31.217,580.081,598.155
107.026,1.25391,927.479
157.235,2.81345,857.639
48.147,3.21594,778.523
39.4097,55.5971,722.813
32.6121,116.996,719.694
34.7542,28.7767,711.762
29.5716,149.323,1113.75
42.0355,108.946,908.721
29.8747,45.3376,830.115
35.3577,110.552,788.637
57.9757,160.685,758.785
69.119,41.9919,732.61
55.33,1.88273,754.092
64.9688,47.1748,1103.7
60.792,13.6761,1024.26
57.0179,9.0261,906.187
52.8542,20.2233,931.404
67.3672,12.5143,913.256
86.065,77.684,957.463
74.0327,54.2833,840.862
59.3778,29.9044,831.556
61.5741,43.6045,745.557
50.7204,4.44723,593.747
53.5848,2.63024,578.323
56.3417,3.27975,531.519
56.5547,1.03949,614.357
52.9177,1.3798,603.691
44.1435,0.474109,333.309
45.5121,2.75346,223.673
45.1906,0.383921,211.631
34.338,0.229925,193.1
34.9878,0.0988336,197.963
26.7559,0,192.345
30.0076,0,197.778
27.9626,0,203.769
24.0649,0,203.866
28.0235,0,211.201
23.6807,0,215.884
24.1738,0,222.391
23.92,0,220.348
27.057,0,226.841
23.7201,0,225.796
24.1531,0,223.995
25.7641,0,805.029
26.0374,0,775.426
30.4717,0,783.524
27.3881,0,744.323
32.0609,0,714.17
43.1357,1.98962,654.339
46.5012,206.206,1079.85
37.6822,27.2217,754.239
29.9639,24.5011,806.023
42.4285,13.3561,927.38
28.7928,24.4883,894.192
36.6681,39.8269,838.169
39.1818,76.695,791.983
108.483,4.03368,815.124
53.7602,21.7524,789.16
58.6728,17.8575,763.293
62.3873,19.2008,745.096
34.7353,16.3011,739.428
68.7664,17.1423,877.32
74.2587,75.1205,1009.02
91.0043,47.5909,894.983
102.794,104.831,891.748
102.826,5.22069,883.565
161.972,100.582,860.292
115.994,49.2342,884.82
97.7757,400.552,864.017
80.1326,63.459,591.899
72.1704,6.43485,453.706
76.7995,48.6214,451.351
76.9698,16.1732,405.406
66.3687,2.16984,404.336
62.9018,6.73813,457.666
65.4969,0.550691,273.249
57.1038,0.217151,197.211
52.0504,0.609226,166.046
51.9158,4.09519,161.602
44.4618,0.153283,165.88
49.9925,0.0413524,166.077
38.5979,0,169.659
36.8455,0,172.79
30.5167,0,176.44
23.2533,0,175.746
32.8532,0,181.553
22.41,0,178.01
25.6812,0,184.372
25.7726,0,178.962
25.3054,0,152.138
27.3269,0,173.233
20.6546,0,257.013
28.0207,0.0398066,318.105
28.4603,0,317.457
38.7818,0.650175,1110.91
34.3395,93.9967,813.979
40.7639,7.62674,797.8
66.4679,1.06523,673.171
60.626,15.4165,554.793
72.414,28.2073,545.224
47.4676,15.1554,612.804
36.6442,35.1602,565.913
23.6551,16.4256,283.019
30.3486,121.955,760.562
50.0142,33.5683,544.279
129.397,222.536,552.988
70.2628,28.9269,506.813
34.5448,1.5552,462.726
69.8314,8.47395,904.429
166.012,551.959,746.387
112.745,210.002,687.309
199.522,13.492,682.676
64.0636,10.625,619.584
70.2987,7.01859,627.672
110.735,91.0386,696.044
227.429,35.9212,787.098
119.421,11.1643,803.742
138.022,105.118,739.786
128.791,41.115,714.187
83.1893,98.1595,708.188
97.6455,10.9934,650.153
80.2815,11.3493,398.399
64.7322,6.40886,230.697
76.2391,2.71561,225.603
62.2725,237.265,144.926
72.7961,2.43055,103.941
43.5228,1.434,114.713
40.8264,0.191604,161.844
39.8041,0.225571,169.672
30.7885,0.0398066,109.772
35.4354,0,111.932
26.7508,0,115.715
29.0046,0,114.332
28.5393,0,118.138
26.8689,0,113.18
28.8331,0,91.5661
23.004,0,101.084
27.0631,0,108.316
24.6861,0,154.014
21.7323,0,250.894
26.2779,0,386.462
28.3863,0,239.258
30.8427,0.229091,920.749
55.4033,236.141,775.266
86.2485,0.517486,970.052
60.326,24.0595,705.053
40.8249,64.1521,796.894
24.4641,28.8237,624.485
27.4951,74.6477,590.627
32.5938,61.5971,535.051
38.1983,11.5425,428.542
37.3571,32.6759,322.759
33.8796,46.5149,448.157
56.8,230.403,406.826
42.1903,66.717,479.351
44.3162,32.2397,474.794
64.3592,11.5156,1063.98
54.1198,30.8698,869.825
63.813,552.584,801.015
60.2899,25.7597,793.401
64.6706,80.1946,748.955
70.6209,14.0297,733.848
105.657,86.4325,783.592
81.2586,34.6126,778.376
116.31,74.1931,818.58
117.335,77.943,757.896
88.5455,17.8917,711.203
77.9324,13.4064,716.034
65.2521,10.262,666.596
71.873,0.421747,405.58
71.2242,0.148382,226.375
61.0306,0.272651,223.122
64.5062,0.466949,135.393
49.2602,2.69832,92.5843
44.0365,0.0413524,141.214
41.9032,0.0191604,149.313
44.3044,0,149.681
34.5683,0,153.932
32.3457,0,152.493
24.4552,0,160.064
23.4178,0,159.398
25.1826,0,166.213
20.793,0,161.528
29.911,0,153.596
22.0841,0,144.306
24.5421,0,150.556
28.2085,0,148.702
19.538,0,166.912
28.0421,0,236.183
23.1677,1.35023,361.981
35.7002,0.650175,959.903
55.8834,274.598,1040.76
67.2793,17.7758,948.403
79.8351,66.1567,618.672
47.1072,568.979,562.153
29.4048,282.977,943.591
28.9418,52.2579,674.902
28.6689,254.787,647.427
38.5482,31.8837,608.851
42.2609,31.8386,623.8
39.0155,15.8275,545.309
43.7963,73.2169,538.098
31.4301,90.1194,539.447
32.6907,20.1411,462.444
60.4205,50.8574,903.415
69.697,7.68046,720.168
50.1021,4.18126,712.182
52.381,85.8216,708.297
53.8204,33.5379,643.29
70.9069,28.8563,611.369
103.433,18.9634,889.635
89.2681,21.6334,759.538
135.657,7.34804,761.168
91.2185,18.079,689.435
71.9766,16.5433,650.266
56.1597,16.5038,671.608
56.8589,8.75087,698.605
72.9993,1.87079,420.742
61.0733,0.0199033,241.171
66.1574,0.599863,231.345
55.7412,3.2057,78.5052
45.4462,7.49907,47.6763
49.7986,0.273384,65.1272
35.1084,0.0574811,93.0457
38.4975,0.217151,81.9426
32.7265,0.550691,88.7125
30.8735,0.0383208,105.269
35.0094,0,114.067
26.4038,0,133.217
26.3424,0,136.298
25.5713,0,139.247
22.9598,0,124.554
30.9089,0,41.2618
20.3362,0,78.4935
27.4722,0,133.283
23.4611,0,260
27.1595,0,463.389
32.2332,0,459.901
45.8276,21.282,925.084
57.2314,581.763,790.016
98.3748,94.2971,966.109
84.2113,46.0714,753.29
150.361,38.87,618.073
55.4681,31.9283,590.392
49.3255,34.4603,582.566
45.4443,117.669,882.425
51.9694,49.18,608.829
45.441,11.7002,602.626
53.1403,14.2235,583.552
50.3993,36.3726,566.67
38.5124,152.161,570.517
49.3486,86.348,561.706
51.2913,3.42003,995.508
50.5028,6.79265,853.272
49.4799,19.017,838.519
49.9792,10.4336,941.376
50.7419,13.6346,894.043
46.0148,3.49414,838.424
101.336,108.833,877.86
118.991,102.699,857.707
76.0665,21.9941,908.88
49.5925,5.75149,806.601
64.6357,1.12713,770.748
48.9114,19.932,794.67
46.9961,1.54012,911.865
49.3341,8.09505,621.848
44.7509,0.866082,422.245
54.8677,29.8395,364.932
50.8428,156.258,116.395
82.8164,34.3594,182.796
53.9177,18.6214,197.94
34.3235,1.35783,202.849
37.0861,0.0398066,206.644
29.2293,0,213.89
24.655,0.835939,215.574
31.8257,0.0398066,222.521
22.4348,0,224.979
28.6559,0,231.87
22.4569,0,232.679
27.1377,0,238.543
26.1053,0,238.949
21.2103,0,235.31
25.7746,0,251.163
24.0528,0,346.645
26.2254,0,385.18
27.5875,0.0398066,428.349
38.123,0.0398066,1139.9
41.3831,33.4354,1383.31
53.0807,191.611,1091.64
58.895,257.211,814.064
50.7941,18.3607,773.621
27.8305,12.7339,548.483
24.2449,18.1637,996.869
28.5013,44.3151,759.172
33.9628,81.7803,600.656
30.9477,38.2098,592.777
65.6163,50.4794,800.912
43.3938,5.98859,842.921
50.1969,18.2228,747.741
52.1315,38.553,672.237
62.0274,2.93594,916.545
52.9847,52.5333,991.47
53.9997,15.6808,940.846
127.911,40.0439,942.818
96.4425,38.4568,882.854
123.407,11.311,908.506
160.636,66.9231,938.325
180.215,603.564,1045.09
325.638,46.5955,1063.07
112.558,17.6735,995.788
122.243,93.4265,962.584
72.2379,4.59671,966.077
86.587,2.8782,917.089
67.7018,11.6382,556.035
77.1689,0.0597099,334.731
68.8775,0.0383208,514.088
60.509,28.7328,326.476
70.5982,58.1091,240.799
48.2998,5.69251,235.744
44.7957,13.051,247.232
38.7875,0.0191604,236.54
36.0887,0,243.61
26.9286,0,234.88
28.3556,0,237.708
23.7236,0,235.917
24.6619,0,224.053
30.2809,0,217.773
23.2825,0,216.778
28.2022,0,219.785
21.4388,0,198.712
23.7321,0,217.35
26.6699,0,810.233
23.6084,0,775.301
34.4282,0,419.599
46.5234,0,651.297
51.7337,1.26054,625.644
62.8686,11.4453,924.351
81.3685,33.1005,941.809
43.6456,83.9657,963.875
37.3055,46.8861,839.894
31.0891,678.76,704.659
37.2231,23.4755,1135.01
34.5752,90.4043,916.931
136.027,60.4641,760.899
123.744,13.1793,812.678
30.6625,16.2152,781.589
40.8934,3.30379,904.444
38.6633,86.4563,931.289
36.0926,40.0946,965.515
71.4248,44.5431,1303.54
74.203,19.2384,1274.45
75.4695,7.38103,983.289
63.753,24.0515,1013.41
89.2845,252.211,1065.38
90.0443,92.4707,1052.12
91.7709,45.2587,1059.01
81.4608,32.3083,1063.68
86.207,78.8182,905.869
85.8306,3.17651,860.893
71.6265,12.0575,851.917
79.7786,3.03874,886.534
80.8208,48.6429,902.105
70.6818,0,855.057
67.5572,1.99268,544.346
65.4064,4.09537,292.747
66.2168,56.3694,276.722
54.7674,0.272763,256.929
57.7641,17.6907,264.042
52.6855,1.59337,255.828
43.4586,0.0383208,255.374
37.5791,0,254.953
35.5067,0,257.931
33.0906,0,266.353
21.1815,0,263.387
27.9335,0,273.636
23.9934,0,257.119
27.2704,0,63.4637
22.3915,0,226.723
27.034,0,268.976
27.0723,0,831.812
23.2433,0.0383208,866.993
27.2966,0,694.876
32.8677,0,778
46.1779,651.657,759.522
126.329,140.618,758.052
146.164,108.091,779.924
91.2608,7.54188,1197.22
46.3126,6.36309,1058.53
37.8896,18.7584,891.677
52.8999,36.4704,883.671
38.07,24.6176,822.115
36.4061,32.8857,803.275
33.7817,28.9361,736.047
78.9762,0.490948,691.11
44.5044,8.21086,721.262
51.1157,10.7698,595.979
36.4379,11.928,671.829
40.0738,19.7178,1001.06
37.8818,11.2862,969.994
44.8521,75.8252,837.827
54.7799,34.7816,1017.68
59.4743,39.9015,1011.61
53.0165,10.3703,937.802
55.6173,221.215,970.928
63.9386,24.0199,949.302
64.94,15.1038,617.231
48.2843,3.2429,561.43
44.6372,27.9918,567.433
51.5837,5.53943,635.122
42.1931,0.365533,642.942
45.2329,1.41677,622.591
37.9414,0.570561,380.704
41.9538,0.0191604,280.027
39.2295,2.68245,262.879
37.6316,0.114962,244.784
32.129,0.385437,251.477
32.8158,0.748474,244.085
32.8757,0,250.206
23.0736,0.0199033,251.566
30.2215,0,251.73
26.2188,0,252.636
24.8379,0,248.021
31.0718,0,243.787
21.5471,0,247.538
27.9641,0,239.564
25.0397,0,236.265
21.6126,0,234.288
30.9609,0.0398066,330.279
20.1411,0,349.813
32.7954,83.0712,455.599
33.4267,0,1131.76
30.2493,0,860.29
40.6973,0.0199033,650.81
33.7689,6.68488,613.283
30.4517,35.9684,1060.85
27.9852,148.271,724.976
33.9088,35.2695,621.694
28.2806,27.8461,562.828
31.0411,82.6437,456.51
42.1571,10.5938,615.423
30.816,6.79402,552.094
29.9509,25.4497,556.72
28.3369,13.8285,551.786
44.7778,15.2247,606.664
29.5057,88.3299,1038.84
77.1607,5.24006,826.052
47.8807,7.25602,1050.22
48.2204,48.2706,1013.02
58.0188,26.5645,953.891
54.6107,6.09729,963.743
83.9881,27.0281,1021.41
76.5839,11.7682,1015.85
80.296,120.235,1028.82
72.5242,265.847,923.527
60.3044,30.5697,856.015
60.8204,15.6229,737.069
62.5125,5.53648,820.972
54.2891,0.225571,530.781
52.1888,0.310972,341.381
50.1775,0.0398066,344.288
53.2813,0.114962,142.8
51.6421,29.2122,195.981
121.369,432.475,160.059
68.3634,8.05034,171.091
37.7084,4.03081,170.836
40.997,0.0398066,179.569
29.7533,0,175.91
34.0647,0,180.472
27.3459,0,182.298
28.2156,0,182.656
26.5514,0,183.965
21.3563,0,183.132
30.3711,0,195.484
21.492,0,206.608
27.6316,0.0398066,192.169
26.931,0,279.814
25.3153,0.0398066,468.455
33.3961,0.225571,462.601
27.3595,9.23747,962.032
42.1575,239.604,1154.2
41.1199,98.6974,932.517
48.6699,5.78994,730.818
47.1846,30.8915,488.798
48.0532,12.3401,877.483
56.879,9.35284,502.587
22.411,17.6812,499.77
26.3197,77.9986,681.82
32.6134,69.4291,708.611
39.0254,42.5279,785.535
68.9839,32.7246,494.227
43.1447,37.7055,571.51
116.715,122.846,573.068
114.319,10.6331,1004.66
85.5481,21.592,818.411
185.417,14.8701,830.437
174.122,10.9087,827.046
108.148,618.376,761.312
66.5575,100.386,748.12
65.5822,86.8153,787.39
105.128,56.9765,769.302
87.827,70.0772,816.476
89.6107,16.4707,751.292
77.7448,14.7804,709.256
71.1118,16.4985,702.151
72.0207,1.50543,659.604
72.7027,0.225571,403.544
63.7182,1.33999,233.209
62.9722,0.297385,227.429
53.8118,0.149928,120.352
40.3951,2.6215,46.5541
36.8422,0.313666,109.832
42.1053,0.210764,130.593
34.9527,0,130.355
32.1327,0,132.113
34.8257,0,135.459
27.3356,0,135.849
28.7794,0,140.629
23.43,0,140.666
28.5663,0,135.718
24.1752,0,130.67
22.6491,0.0398066,138.169
28.5634,0,128.71
21.4231,0,152.248
28.104,0,245.426
25.2889,0,369.381
33.9825,0,416.886
39.7745,0,1098.13
57.9983,313.353,893.601
56.4814,46.135,763.164
83.8089,26.7839,581.405
53.3087,33.7771,522.298
41.286,11.4564,484.631
42.473,103.779,756.924
56.8986,9.69183,448.571
38.6066,184.312,336.882
147.873,80.0982,353.815
75.2469,20.645,218.859
34.7329,23.6879,334.32
45.1479,19.4974,341.894
33.6247,11.2153,338.48
41.3529,30.4115,820.462
81.4141,89.4396,592.895
124.564,10.2323,658.292
119.589,521.139,659.159
81.591,22.7275,732.469
75.2422,12.3493,690.512
105.556,90.2063,704.485
110.837,171.847,690.623
242.968,15.8327,738.058
142.04,40.9538,665.383
80.4246,14.2074,636.493
63.0035,5.64714,630.317
71.6862,0.311139,588.233
71.2562,0,364.66
69.2563,2.75346,197.78
64.8852,2.259,193.771
53.4053,0.225571,118.35
55.7881,1.9874,44.1555
42.2537,0.313666,70.6021
45.7359,0.100319,110.988
46.9657,0.191604,121.107
28.2049,0,124.331
33.2822,0,127.077
23.6772,0,131.433
27.3762,0,131.695
29.4563,0,139.268
19.2239,0,136.589
27.2806,0,146.11
22.8453,0.0597099,146.495
21.7732,0,163.544
28.4502,0,49.2922
25.6847,0,215.812
26.7327,0,388.852
25.4804,0,380.516
32.4807,10.5886,891.881
35.7943,0.610368,934.311
48.8065,3.82245,793.489
57.2383,463.713,654.138
90.7977,149.682,594.323
88.9141,255.931,889.317
27.2821,8.58766,626.56
31.0735,8.19373,567.615
32.5941,110.068,665.168
54.965,17.3871,501.879
33.0077,41.013,441.501
34.0445,49.4001,379.391
34.8903,42.684,442.226
38.4623,30.0763,439.798
46.2228,28.0627,921.656
34.3796,8.53414,708.083
53.4568,32.5966,748.315
58.7596,0.0199033,743.196
51.6019,171.261,711.153
55.9673,27.7113,709.016
59.9382,13.5437,764.443
99.7758,11.0668,752.475
99.8423,20.8096,788.147
77.9133,23.0112,758.987
71.1079,4.07777,713.914
55.1489,7.36274,707.445
54.2582,1.42195,651.191
45.7737,0,388.956
50.832,0.168285,168.769
40.9678,4.18817,165.085
46.0739,0.569767,83.7524
45.2803,0.883052,87.1364
44.8895,101.677,138.962
48.2184,0.0605128,153.226
32.3794,0.0383208,150.29
33.2213,0,152.217
33.4586,0,154.719
24.0709,0,156.227
29.619,0,162.678
25.1898,0,163.854
21.7823,0,167.555
26.1388,0,164.933
26.73,0,170.904
21.5757,0,169.818
25.1969,0,194.344
24.9246,0,295.648
25.8036,0,423.172
32.371,0,400.878
30.5353,6.56552,1131.75
46.6683,2.85648,993.605
44.7461,96.5414,636.242
49.4378,18.921,610.463
37.1877,22.1702,931.002
24.8058,53.5469,720.219
32.1531,59.0727,841.512
27.3186,57.9028,709.556
48.0331,126.595,654.062
38.0573,190.026,663.716
26.8982,56.5126,648.233
32.9188,19.8311,795.206
38.9471,26.9016,759.719
65.1847,11.7215,750.384
52.9661,36.1704,1000.33
42.7695,63.5602,817.876
50.5358,91.2645,803.267
49.2693,10.3371,742.698
46.2353,4.98588,772.988
52.5796,31.9335,743.7
79.25,83.0396,811.58
65.6523,44.9696,804.273
97.1551,17.8594,821.401
60.2215,17.6434,749.025
62.7269,10.365,740.21
66.1396,1.10438,742.229
54.1554,0.11942,718.336
51.8429,1.23315,408.075
53.8685,1.99268,230.154
44.4417,1.26043,228.623
47.944,1.0182,94.0739
40.5875,232.867,163.974
43.5294,5.29647,181.054
44.6761,0.611204,190.913
32.8459,0.0383208,197.362
35.1716,0,199.457
28.612,0,208.609
24.6474,0,208.54
31.3394,0,218.523
21.0006,0,220.197
25.6447,0,227.3
24.7583,0,231.314
25.3097,0,232.089
26.1959,0,239.11
22.1162,0,235.842
26.8028,0,805.854
27.5693,0,793.229
24.4559,0,583.548
30.1714,0.265377,667.887
40.8022,1.08805,943.855
48.9491,7.27056,951.013
53.4433,11.2757,822.971
40.0817,35.8765,632.183
29.7012,42.8449,628.305
29.6333,121.336,512.325
27.0093,19.3481,693.57
40.5705,277.89,678.943
42.4108,89.6367,656.768
34.1013,14.747,690.31
58.4484,3.85878,1111.67
46.0779,22.0025,665.796
51.2503,85.0468,510.811
40.2094,34.4386,564.368
70.3363,88.5851,1026.62
86.3645,14.3639,1084.33
49.248,16.291,931.101
51.0996,41.3693,931.958
58.4381,25.4053,906.252
53.7476,7.90255,895.466
64.6856,6.76369,948.948
48.7813,2.83346,936.553
47.7594,14.3506,633.965
47.0146,1.20767,588.397
44.0472,2.41273,571.908
54.1962,6.80467,587.42
50.7491,1.29188,655.658
42.6808,0.364894,646.129
40.6249,0.0796132,369.742
49.2639,0.132689,261.511
39.4019,0.550691,242.301
58.4277,61.8491,235.115
30.0122,46.2233,233.145
34.6218,0.210764,238.981
32.6724,0.806372,235.942
30.7463,0,242.749
28.3977,0,244.965
25.5828,0,251.15
26.8214,0,255.835
22.1054,0,260.207
29.2245,0,266.353
23.8313,0,266.824
23.7141,0,267.385
24.7486,0.0606417,274.353
27.0009,0,814.885
22.52,0,840.512
24.9825,123.188,696.576
33.8116,84.3635,677.097
41.7658,10.0436,714.729
37.3276,11.0655,607.843
42.2017,20.3247,803.902
46.163,50.6327,759.586
45.8141,37.9486,769.571
34.6475,95.4203,536.002
59.6313,15.5761,705.14
49.3499,0.0582528,612.227
39.9249,0.650175,642.718
41.0585,7.72777,609.422
32.1831,6.06059,499.875
36.6481,15.9509,466.958
38.4751,91.0494,928.498
35.5341,16.9366,909.795
36.9093,168.353,1167.3
55.6845,12.2747,1169.88
54.6533,5.6998,913.534
58.3228,19.7418,998.807
81.2769,2.9955,992.413
80.9551,4.73621,1212.03
62.3445,4.59366,1212.82
49.1908,203.846,1126.6
45.3022,102.625,750.233
53.9917,34.3989,691.743
36.5474,22.1554,698.514
53.8831,1.13398,768.48
37.1257,2.1494,786.403
35.1332,5.93043,759.742
47.6985,0.0781274,501.952
50.6921,61.3983,293.762
42.5211,36.199,386.522
45.7399,13.2845,248.344
38.5061,1.27768,243.139
41.3973,0.266923,250.462
31.1777,0.0398066,250.677
31.2253,0,256.464
27.3355,0,255.798
27.5778,0,260.946
25.749,0,258.663
28.6716,0,260.135
27.271,0,267.683
23.7949,0.0398066,261.777
25.8404,0,250.209
22.741,0,254.205
30.9368,0,370.523
22.9629,0,395.409
29.3486,0.398066,370.351
30.7695,0,880.653
26.7479,51.2187,1133.08
49.1706,185.888,908.531
85.7895,49.2372,1064.93
57.783,33.2694,981.796
32.418,15.2909,1364.13
86.8343,31.2012,1209.47
165.534,77.3123,969.836
44.9888,30.6112,859.219
39.3926,17.4925,877.1
41.5106,21.0937,896.199
36.1087,78.8668,887.763
30.6861,37.4179,859.954
71.698,21.8084,792.674
41.9198,4.59565,1136.65
63.2456,33.8759,951.45
48.9914,8.73145,968.673
55.6026,3.67342,1023.64
54.8461,22.1539,933.685
46.1474,40.2934,945.763
56.1579,166.624,1038.3
85.6866,263.978,1019.08
181.53,527.796,1041.96
130.615,318.88,975.602
161.574,23.7185,954.584
95.7822,66.2155,961.67
141.816,18.361,923.716
85.5711,0.353007,588.547
82.6852,3.02687,371.062
82.5756,8.79797,378.962
69.7,11.3317,331.186
57.7856,0.081159,253.237
61.7161,0.648689,255.996
52.2055,0,261.935
44.6193,2.21825,259.517
33.8169,0.0398066,260.211
30.412,0,261.007
32.8538,0,265.315
20.5113,0,267.723
28.1753,0,269.048
28.7196,0,272.926
21.606,0,277.799
27.5323,0,279.321
22.5249,0,276.361
